zipcode,major_city,radius_in_miles,population,population_density,housing_units,occupied_housing_units,median_home_value,median_household_income
10029,New York,1.0,76003,92116.0,31121,29378,787000.0,31888.0
91910,Chula Vista,4.0,75802,6196.0,27557,26063,340300.0,54056.0
10462,Bronx,1.0,75784,51207.0,31331,29855,271300.0,45864.0
10452,Bronx,0.9090909090909091,75371,76548.0,25866,24796,402800.0,25979.0
78572,Mission,11.0,75221,970.0,28658,22742,78200.0,37735.0
11218,Brooklyn,2.0,75220,52664.0,26598,25240,546300.0,52445.0
92509,Riverside,5.0,75196,2418.0,20512,19232,208500.0,56517.0
90255,Huntington Park,2.0,75066,20189.0,19118,18419,289800.0,37651.0
93257,Porterville,24.0,75004,169.0,22985,21431,148400.0,40851.0
93550,Palmdale,12.0,74929,382.0,22961,20864,137200.0,38316.0
85364,Yuma,8.0,74904,1899.0,29918,24879,118900.0,39102.0
91709,Chino Hills,6.0,74796,2188.0,23615,22940,476200.0,96497.0
37211,Nashville,6.0,74755,3498.0,31732,29260,164400.0,43251.0
75070,Mckinney,5.0,74734,3123.0,27329,25584,197100.0,98524.0
77479,Sugar Land,6.0,74514,2254.0,24980,24076,275400.0,123935.0
66062,Olathe,6.0,74411,1558.0,27198,26031,200400.0,82333.0
91335,Reseda,2.0,74363,11328.0,24158,22855,332900.0,51266.0
60634,Chicago,3.0,74298,10446.0,27449,25712,239200.0,55767.0
95823,Sacramento,3.0,73985,6268.0,24552,22470,144100.0,37931.0
92553,Moreno Valley,3.0,73722,7277.0,20376,18967,153300.0,42825.0
92126,San Diego,3.0,73343,5788.0,23820,22978,378400.0,81505.0
75211,Dallas,5.0,73146,4151.0,21528,19992,87800.0,36704.0
22193,Woodbridge,4.0,73047,4133.0,23150,22186,258000.0,90378.0
94544,Hayward,3.0,73026,6665.0,23308,21872,305100.0,60448.0
00953,Toa Alta,4.0,73014,2735.0,26609,24163,,
75034,Frisco,6.0,72723,1454.0,26706,24900,285900.0,111318.0
93065,Simi Valley,5.0,72508,2291.0,24282,23533,442800.0,91686.0
